,Title,Release Year,Locations,Director,Actor 1
580,Nine Months,1995,Jack Kerouac Alley between Columbus & Grant Streets,Chris Columbus,Hugh Grant
581,Jade,1995,Washington Square (North Beach),William Friedkin,David Caruso
582,Nine Months,1995,Pierce Street between Pacific & Green Streets,Chris Columbus,Hugh Grant
583,Nine Months,1995,"101 Henry Adams Place, 4th Floor",Chris Columbus,Hugh Grant
584,Copycat,1995,Treasure Island,Jon Amiel,Sigourney Weaver
585,Jade,1995,Lombard & Hyde Streets,William Friedkin,David Caruso
586,Jade,1995,Palace of Fine Arts,William Friedkin,David Caruso
587,Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),Chris Columbus,Hugh Grant
588,Nine Months,1995,Chrissy Field,Chris Columbus,Hugh Grant
589,Nine Months,1995,Montgomery & Vallejo Streets,Chris Columbus,Hugh Grant
590,Copycat,1995,Alta Plaza Park,Jon Amiel,Sigourney Weaver
591,Copycat,1995,82 & 67 Rico Way (Marina District),Jon Amiel,Sigourney Weaver
592,Dream for an Insomniac,1996,Baker Beach,Tiffanie DeBartolo,Ione Skye
593,The Rock,1996,City Hall,Michael Bay,Sean Connery
594,The Rock,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)",Michael Bay,Sean Connery
595,Homeward Bound II: Lost in San Francisco,1996,Pier 39 (Fisherman's Wharf),David R. Ellis,Michael J. Fox
596,The Rock,1996,Alcatraz Island,Michael Bay,Sean Connery
597,The Rock,1996,Palace of Fine Arts (3301 Lyon Street),Michael Bay,Sean Connery
598,Mother,1996,Golden Gate Bridge,Albert Brooks,Albert Brooks
599,Phenomenon,1996,Treasure Island,Jon Turteltaub,John Travolta
600,Mother,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)",Albert Brooks,Albert Brooks
601,The Rock,1996,New Russian Hill Market (1198 Pacific Avenue at Jones),Michael Bay,Sean Connery
602,The Rock,1996,Coit Tower,Michael Bay,Sean Connery
603,The Rock,1996,The San Francisco Bay,Michael Bay,Sean Connery
604,Dream for an Insomniac,1996,Elbo Room (647 Valencia Street),Tiffanie DeBartolo,Ione Skye
605,The Fan,1996,Candlestick Park (602 Jamestown Ave.),Tony Scott,Robert De Niro
606,Metro,1997,Bush Street at Jones,Thomas Carter,Eddie Murphy
607,The Game,1997,Ritz-Carlton Hotel (600 Stockton Street),David Fincher,Michael Douglas
608,The Game,1997,Bank of America Building (555 California Street),David Fincher,Michael Douglas
609,The Game,1997,Bay Bridge,David Fincher,Michael Douglas
610,George of the Jungle,1997,755 Vallejo Street,Sam Weisman,Brendan Fraser
611,The Game,1997,Harrison Street (The Embarcadero),David Fincher,Michael Douglas
612,The Game,1997,City Club (155 Sansome Street),David Fincher,Michael Douglas
613,Dream with the Fishes,1997,Bay Bridge,Finn Taylor,David Arquette
614,A Smile Like Yours,1997,San Francisco International Airport,Keith Samples,Greg Kinnear
615,The Game,1997,Mason & California Streets (Nob Hill),David Fincher,Michael Douglas
616,The Game,1997,Merchant Exchange Building,David Fincher,Michael Douglas
617,The Game,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)",David Fincher,Michael Douglas
618,The Game,1997,Sheraton Palace Hotel (639 Market Street),David Fincher,Michael Douglas
619,The Game,1997,Washington Street & Waverly Place (Chinatown),David Fincher,Michael Douglas
620,Flubber,1997,Treasure Island,Les Mayfield,Robin Williams
621,George of the Jungle,1997,Bay Bridge,Sam Weisman,Brendan Fraser
622,George of the Jungle,1997,First Bank (550 Montgomery Street at Commercial),Sam Weisman,Brendan Fraser
623,A Smile Like Yours,1997,Grace Cathedral Episcopal Church (1100 California Street),Keith Samples,Greg Kinnear
624,The Game,1997,Presidio (Golden Gate National Recreation Area),David Fincher,Michael Douglas
625,A Smile Like Yours,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),Keith Samples,Greg Kinnear
626,Dream with the Fishes,1997,Pier 39,Finn Taylor,David Arquette
627,A Smile Like Yours,1997,75 California Street,Keith Samples,Greg Kinnear
628,George of the Jungle,1997,"Neiman Marcus (150 Stockton Street, Union Square)",Sam Weisman,Brendan Fraser
629,George of the Jungle,1997,The Tamalpais Building (1201 Greenwich Street at Hyde),Sam Weisman,Brendan Fraser
630,The Game,1997,1 Bush Street,David Fincher,Michael Douglas
631,The Game,1997,Merchant Exchange Building (465 California Street),David Fincher,Michael Douglas
632,The Game,1997,301 Howard Street,David Fincher,Michael Douglas
633,Sphere,1998,S.S. Jeremiah O'Brien,Barry Levinson,Dustin Hoffman
634,City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),Brad Silberling,Nicolas Cage
635,What Dreams May Come,1998,Treasure Island,Vincent Ward,Robin Williams
636,Doctor Dolittle,1998,Larkin & Hyde Streets,Betty Thomas,Eddie Murphy
637,Around the Fire,1998,Ocean Beach,John Jacobsen,Tara Reid
638,Patch Adams,1998,Sheraton Palace Hotel (639 Market Street),Tom Shadyac,Robin Williams
639,Doctor Dolittle,1998,2107 Union Street,Betty Thomas,Eddie Murphy
640,Doctor Dolittle,1998,Webster Street,Betty Thomas,Eddie Murphy
641,Doctor Dolittle,1998,Coit Tower,Betty Thomas,Eddie Murphy
642,The Parent Trap,1998,Administration Building (Treasure Island),Nancy Meyers,Lindsay Lohan
643,Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),Betty Thomas,Eddie Murphy
644,Patch Adams,1998,Presidio (Golden Gate National Recreation Area),Tom Shadyac,Robin Williams
645,Doctor Dolittle,1998,Gabbiano's Restaurant (Ferry Building),Betty Thomas,Eddie Murphy
646,Patch Adams,1998,Treasure Island,Tom Shadyac,Robin Williams
647,How Stella Got Her Groove Back,1998,Marriot Hotel (55 4th Street at Market),Kevin Rodney Sullivan,Angela Bassett
648,Doctor Dolittle,1998,2100 Green Street,Betty Thomas,Eddie Murphy
649,The Bachelor,1999,Merchant Exchange (465 California Street at Leidesdorff),Gary Sinyor,Chris O'Donnell
650,Edtv,1999,Palace of Fine Arts (3301 Lyon Street),Ron Howard,Matthew McConaughey
651,The Bachelor,1999,Moose's Restaurant (1652 Stockton),Gary Sinyor,Chris O'Donnell
652,Edtv,1999,1138 Filbert Street,Ron Howard,Matthew McConaughey
653,Bicentennial Man,1999,Golden Gate Bridge,Chris Columbus,Robin Williams
654,Edtv,1999,19 Green Street (North Beach),Ron Howard,Matthew McConaughey
655,Edtv,1999,Moose's Restaurant (1652 Stockton),Ron Howard,Matthew McConaughey
656,Edtv,1999,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",Ron Howard,Matthew McConaughey
657,The Other Sister,1999,Palace of Fine Arts (3301 Lyon Street),Garry Marshall,Juliette Lewis
658,The Bachelor,1999,Roof of Cable Car (California at Front Street),Gary Sinyor,Chris O'Donnell
659,Bicentennial Man,1999,"Postcard Row, Alamo Square, Hayes Valley",Chris Columbus,Robin Williams
660,Edtv,1999,20th & Connecticut Streets (Potrero Hill),Ron Howard,Matthew McConaughey
661,The Other Sister,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Garry Marshall,Juliette Lewis
662,Seven Girlfriends,1999,Golden Gate Bridge,Paul Lazarus,Laura Leighton
663,The Bachelor,1999,Stockton Tunnel (Stockton Street at Sutter Street),Gary Sinyor,Chris O'Donnell
664,The Bachelor,1999,Washington Square Park (North Beach),Gary Sinyor,Chris O'Donnell
665,Edtv,1999,Mario's Bohemian Cigar Store (Washington Square),Ron Howard,Matthew McConaughey
666,The Bachelor,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Gary Sinyor,Chris O'Donnell
